INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Escola Técnica Estadual Professor Agamemnom Magalhães,2012,02,02,02,,ENSINO-MEDIO,"['Computação gráfica 1', 'Projeto de Design 2']"
Universidade Federal Rural de Pernambuco,2012,03,03,03,Artes Visuais,GRADUACAO,['Tecnologia Digital: Imagem do desenho gráfico']
Centro de Estudos e Sistemas Avançados do Recife,2020,,ATUAL,ATUAL,Graduação em Design,GRADUACAO,"['Design de Serviços', 'Design e Meio ambiente', 'Técnicas de ideação', 'Projeto III', 'Projeto V']"
Centro de Estudos e Sistemas Avançados do Recife,2020,,ATUAL,ATUAL,Mestrado Profissional em Design,POS-GRADUACAO,['Geração de idéias e técnicas criativas']
Centro de Estudos e Sistemas Avançados do Recife,2020,,ATUAL,ATUAL,Mestrado Profissional em Design de Artefatos Digitais,POS-GRADUACAO,"['Design de Serviços', 'Design e Meio Ambiente', 'Semiótica']"
Centro de Estudos e Sistemas Avançados do Recife,2021,,ATUAL,ATUAL,DESIGN DE INTERAÇÃO E INTERFACE PARA DISPOSITIVOS,ESPECIALIZACAO,['Projetos executivos']
