TITULO,ANO,ENTIDADE_PROMOTORA
Professor homenageado pela turma de concluintes do curso de Design Gráfico da UNIBRATEC (2012.2).,2012,
Professor homenageado pela turma de concluintes do curso de Design Gráfico da UNIBRATEC (2013.1).,2013,
Professor homenageado pela turma de concluintes do curso de Design Gráfico da UNIBRATEC (2014.2).,2014,
Professor homenageado pela turma de concluintes do curso de Design Gráfico da UNIBRATEC (2015.1).,2015,
Professor homenageado pela turma de concluintes do curso de Design Gráfico da UNIBRATEC (2016.1).,2016,
Professor homenageado pela turma de concluintes do curso de Design Gráfico da UNIBRATEC (2015.2).,2016,
Professor homenageado pela turma de concluintes do curso de Design Gráfico da UNIBRATEC (2018.1),2018,
Mérito Acadêmico (2018.1),2018,Centro Universitário dos Guararapes - UNIFG
Mérito Acadêmico (2018.2),2019,Centro Universitário dos Guararapes - UNIFG
Professor homenageado pela turma de concluintes do curso de Design Gráfico da Faculdade IBRATEC (2019.1),2019,
