NOME
Tiago Guedes Ferreira Barros
Tatalina Cristina Silva de Oliveira
Erico Souza Teixeira
Diego de Freitas Bezerra
Rodrigo Rios de Larrazabal
Carlos Eduardo Burgos de Melo Filho
Tatyane Souza Calixto da Silva
Leo Falcão
Gustavo Henrique da Silva Alexandre
Eduarda Luiza de Vasconcelos Motta Marques
Guilherme Fernando Cavalcanti Pereira
Luiz Francisco Alves de Araujo
Ricardo Cesar de Andrade
Ioram Schechtman Sette
Diocleciano Dantas Neto
Henrique Braga Foresti
Juliana Soares Queiroga
Rafael Rattes Lima Rocha de Aguiar
Georgina Venancio de Queiroz
Andréa Gomes dos Santos
Giselle Rossi Figueiredo César de Araújo
Rafael Ferreira Leite de Mello
Ricardo Araújo Costa
Ana Carolina Candido de Melo
Marcelo Penha
Gabor Sipkoi Kellermann
Petrônio Gomes Lopes Júnior
Fernando Ferreira de Carvalho
Nilson Valdevino Soares
José Carlos Porto Arcoverde Junior
Marcello Caldas Bressan
Haidée Cristina Câmara Lima
Willian das Neves Grillo
Carlos Eduardo Burgos de Melo Filho
Denny Anderson Farias Costa
Helda Oliveira Barros
César FRANCA
Ana Paula Carvalho Cavalcanti Furtado
Yvana Oliveira de Alencastro
Erika Cavalcanti Madeira Campos
Walquíria Castelo Branco Lins
Juliana Pereira Gonçalves de Andrade Araripe
Cristiana Leal de Lacerda Pires
João Antônio Chagas Nunes
Luiz Fernando Fonsêca Pinheiro de Lima
Beatriz Leandro Bonafini
Marcos de Souza Oliveira
Matheus Casa Nova da Luz
André Bernardes
Alexandre Henrique Kavalerski Teixeira
Antonio Willian Sousa
Eronides Felisberto da Silva Neto
Amanda Lopes Oliveira
Rodrigo Diego Melo Amorim
Esdras Souto Costa
Fabricio Torquato Leite
Gabor Sipkoi Kellermann
Georgia Pinto Barbosa
Camille Nascimento Santiago Caminha
Vitor Casadei
Pietra Regina Moreira Ranucci
Marcondes de Souza Alves Gorgonho
Gabriela de Medeiros Boeira
Joao Paulo Magalhaes
Henrique Braga Foresti
Luiz Francisco Martins Bentes
