TITULO,ANO,ENTIDADE_PROMOTORA
Prêmio Gastão de Holanda,1994,Universidade Federal de Pernambuco
Concurso de Logomarca do II Congresso Estadual de Magistrados,2005,Associação dos Magistrados do Estado de Pernambucco - AMEPE
