PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Processamento de Alto Desempenho em Química,2011,2014,PESQUISA,"['Erico Souza Teixeira', 'Longo, Ricardo L.']","['NAO', 'SIM']"
Dinâmica Quântica de Elétrons e Núcleos (END): novas implementações baseadas em ondas planas,2015,ATUAL,PESQUISA,"['Erico Souza Teixeira', 'Jorge Alberto Morales']","['SIM', 'NAO']"
PACE - Python Accelerated Coherent-states Electron-nuclear-dynamics,2018,ATUAL,PESQUISA,"['Erico Souza Teixeira', 'Jorge Alberto Morales']","['SIM', 'NAO']"
Aprendizagem de Máquina aplicada no diagnóstico da COVID-19,2021,ATUAL,PESQUISA,"['Erico Souza Teixeira', 'Roberto Dias Lins Neto', 'Matheus Vitor Ferreira Ferraz', 'José Cláudio Soares Neto', 'Renan Didier Rizzatto']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Montagem de sequências de DNA com Transformer,2021,2021,PESQUISA,"['Erico Souza Teixeira', 'Tiago Lopes Valença']","['SIM', 'NAO']"
Identificação de Câncer de Mama por Aprendizagem de Máquina,2021,ATUAL,PESQUISA,"['Erico Souza Teixeira', 'João Victor Bravo Montarroios']","['SIM', 'NAO']"
Princípios de equidade na geração de dados para aprendizado de máquina utilizando dados clínicos,2021,ATUAL,PESQUISA,"['Erico Souza Teixeira', 'Thiago José Carvalho de Moraes']","['SIM', 'NAO']"
Aprendizagem de Máquina aplicada no diagnóstico da COVID-19,2021,ATUAL,PESQUISA,"['Erico Souza Teixeira', 'Roberto Dias Lins Neto']","['SIM', 'NAO']"
Química Computacional Quântica aplicada na dinâmica de reações,2021,ATUAL,PESQUISA,"['Erico Souza Teixeira', 'Ricardo Cesar Andrade', 'Everton Gonçalves Dias']","['SIM', 'NAO', 'NAO']"
Síntese de som com algoritmos evolucionários,2021,ATUAL,PESQUISA,"['Erico Souza Teixeira', 'Arthur Oliveira Reis']","['SIM', 'NAO']"
Aprendizagem de Máquina Aplicada na Predição de Resistência de Bactérias a antibióticos,2020,ATUAL,PESQUISA,['Erico Souza Teixeira'],['SIM']
Difusão espacial do COVID-19 no Brasil,2021,ATUAL,PESQUISA,"['Erico Souza Teixeira', 'Leonardo Castelo Branco de Melo']","['SIM', 'NAO']"
