PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
CONHECENDO O ESTADO DE PERNAMBUCO: UM MAPEAMENTO DO   MOVIMENTO E CULTURA NEGRA.,2013,2014,PESQUISA,"['Tatalina Cristina Silva de Oliveira', 'danielle simões-borgiani', 'Rita de Cássia Nunes', 'Bruna Liana Silva']","['SIM', 'NAO', 'NAO', 'NAO']"
pretinhoNADAbásico,2013,2018,EXTENSAO,"['Tatalina Cristina Silva de Oliveira', 'Diego L. Rocha']","['SIM', 'NAO']"
PretinhoNADAbásico - &amp;quot;Festival Tom Sobre Tom&amp;quot;,2017,2017,EXTENSAO,"['Tatalina Cristina Silva de Oliveira', 'Diego L. Rocha']","['SIM', 'NAO']"
PretinhoNADABásico - &amp;quot;Espelhos do Tempo&amp;quot;,2016,2016,EXTENSAO,"['Tatalina Cristina Silva de Oliveira', 'Diego L. Rocha', 'Ana Priscila do Ó Tidey']","['SIM', 'NAO', 'NAO']"
PretinhoNADAbásico - &amp;quot;Retratos de Shakespeare&amp;quot;,2016,2016,EXTENSAO,"['Tatalina Cristina Silva de Oliveira', 'Dario Brito', 'Diego L. Rocha', 'Ana Priscila do Ó Tidey']","['SIM', 'NAO', 'NAO', 'NAO']"
PretinhoNADAbásico - &amp;quot;RECortes&amp;quot;,2015,2015,EXTENSAO,"['Tatalina Cristina Silva de Oliveira', 'Diego L. Rocha']","['SIM', 'NAO']"
PretinhoNADAbásico - &amp;quot;Espectros Literários&amp;quot;,2015,2015,EXTENSAO,"['Tatalina Cristina Silva de Oliveira', 'Diego L. Rocha']","['SIM', 'NAO']"
Projeto Interdisciplinar - &amp;quot;Desfile: A Fantasia do Meu Ideal&amp;quot;,2015,2015,EXTENSAO,"['Tatalina Cristina Silva de Oliveira', 'Dario Brito']","['NAO', 'SIM']"
PretinhoNADAbásico - Exposição fotográfica,2014,2014,EXTENSAO,['Tatalina Cristina Silva de Oliveira'],['SIM']
PretinhoNADAbásico - &amp;quot;Além do Happy Ending&amp;quot;,2014,2014,EXTENSAO,"['Tatalina Cristina Silva de Oliveira', 'Diego L. Rocha']","['SIM', 'NAO']"
Projeto Interdisciplinar,2014,2014,EXTENSAO,"['Tatalina Cristina Silva de Oliveira', 'Dario Brito']","['NAO', 'SIM']"
"&amp;quot;Ô Fashion Week, leia os jornais, o povo negro é metade e muito mais&amp;quot;",2014,2015,PESQUISA,"['Tatalina Cristina Silva de Oliveira', 'Ana Flávia da Fonte Netto de Mendonça', 'Ertz Clarck Melindre dos Santos']","['SIM', 'NAO', 'NAO']"
Pretinho Nada Básico,2014,ATUAL,EXTENSAO,['Tatalina Cristina Silva de Oliveira'],['SIM']
Models,2018,2018,EXTENSAO,"['Tatalina Cristina Silva de Oliveira', 'Rita de Cássia Nunes', 'isabella maria barros coelho jarocki']","['SIM', 'NAO', 'NAO']"
Diversidade e Inclusão,2022,2022,ENSINO,['Tatalina Cristina Silva de Oliveira'],['SIM']
Diagnóstico Social Comunidade do Pilar,2022,2022,OUTRA,"['Tatalina Cristina Silva de Oliveira', 'Marina Mergulhão']","['SIM', 'NAO']"
DITEC - Banco do Brasil,2021,2021,OUTRA,"['Tatalina Cristina Silva de Oliveira', 'Rodrigo Cursino', 'Alfredo Dobrões', 'Fernanda Valdevino']","['SIM', 'NAO', 'NAO', 'NAO']"
Manual de Técnicas de Ideação para Designers (ou não),2022,ATUAL,ENSINO,['Tatalina Cristina Silva de Oliveira'],['SIM']
ARTESANATO DESIGN E MARKETING: UMA INTERVENÇÃO NA ALDEIA FUNI-O,2022,2022,OUTRA,"['Tatalina Cristina Silva de Oliveira', 'Maike Torres de Sá']","['SIM', 'NAO']"
