INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Paulo Roberio Tenorio Pessoa ME,2009,01,01,01,,OUTRO,"['Desenho Técnico Assitido por Computador', 'Desenvolvimento Web', 'Computação Gráfica', 'Introdução à Computação']"
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,2021,03,03,03,,OUTRO,"['Desenvolvimento de Sistemas (Programação Orientada a Objetos) - Técnico em Informática', 'Programação Web 1 - Técnico em Informática', 'Tópicos Especiais - Técnico em Informática']"
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,2021,03,03,03,Sistemas de Informação,GRADUACAO,"['Sistemas Distribuídos', 'Tópicos Especiais']"
Centro de Estudos e Sistemas Avançados do Recife,2022,08,08,08,Ciência da Computação,GRADUACAO,['Algoritmos e Estruturas de Dados']
