TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Mapas Narrativos: estruturas dramáticas aplicadas à concepção e avaliação de Games,2009,Português,VAZIO,['Leonardo Henrique Lago Falcão'],['1'],[]
O Hóspede,2022,Português,VAZIO,['Leonardo Henrique Lago Falcão'],['1'],[]
