NATUREZA,TITULO,ANO,PAIS,IDIOMA,NOME-DO-CANDIDATO,CODIGO_INSTITUICAO,NOME-DA-INSTITUICAO,NOME-ORGAO,NOME-DO-CURSO,NOME-PARTICIPANTE-BANCA,ORDEM-PARTICIPANTE,NOME-CITACAO-BANCA,NRO-ID-CNPQ
Mestrado,Melhorando a tomada de decisão por meio do UX com cardápio interativo: Um estudo de caso em uma hamburgueria,2017,Brasil,Português,VAZIO,091400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Profissional em Design,Walter Franklin Marques Correia;Ney Brito Dantas;Marcelo Penha;,1;2;3;,"CORREIA, W. F. M.;DANTAS, N. B.;PENHA, MARCELO;",
Mestrado,Six Weeks to Mars: Desenvolvimento de um Companheiro Robótico Afetivo de Brinquedo,2017,Brasil,Português,VAZIO,091400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Profissional em Design,Walter Franklin Marques Correia;Felipe Santana Furtado Soares;Marcelo Penha;,1;2;3;,"CORREIA, W. F. M.;SOARES, F. S. F.;PENHA, M.;",
Mestrado,Análise das técnicas de separação de resíduos sólidos sob a ótica socioambiental do design,2021,Brasil,Português,VAZIO,091400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Profissional em Design,Marcelo Penha;Carlos Henryque Pompeu Gomes;Magna Lícia Barros Milfont;,1;2;3;,"Penha, M.;GOMES, C. H. P.;MILFONT, M. L. B.;",
Mestrado,Design de Serviço como Metodologia para Melhoria da Experiência do Usuário em uma Construtora,2021,Brasil,Português,VAZIO,091400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Profissional em Design,Walquiria Castelo Branco Lins;Marcelo Penha;Carla Link Federizzi;,1;2;3;,"LINS, W. C. B.;PENHA, M.;FEDERIZZI, C. L.;",
Mestrado,A contribuição do Design de Serviços como ferramenta de inclusão dos Servidores com Deficiência Visual no Tribunal de Justiça de Pernambuco,2022,Brasil,Português,VAZIO,000700000992,CESAR School,VAZIO,Mestrado Profissional em Design,Marcelo Penha;José Carlos Porto Arcoverde Júnior;Simone Barreto Lourenço da Silva;,1;2;3;,"PENHA, M.;ARCOVERDE JUNIOR, J. C. P.;SILVA, S. B. L.;",
Mestrado,A Justiça Enxergando a Acessibilidade: Proposta de um Serviço mais Acessível  e Inclusivo aos Usuários com Deficiência Visual com Abordagem no Design de Serviços,2022,Brasil,Português,VAZIO,000700000992,CESAR School,VAZIO,Mestrado Profissional em Design,Marcelo Penha;Carlos Henryque Pompeu Gomes;joão cezar cavalcanti rocha;,1;2;3;,"PENHA, M.;GOMES, C. H. P.;ROCHA, J. C. C.;",
Mestrado,O DESIGN CONVERSACIONAL DA D.E.N.I.S.E: A EVOLUÇÃO DO CHATBOT PARA  UMA PERSONAGEM VIRTUAL INTELIGENTE DE VOZ (VUI),2022,Brasil,Português,VAZIO,091400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Profissional em Design,Sylker Teles da Silva;Marcelo Penha;Eduardo Jose Goncalves de Oliveira;Ricardo Grunitzki;,1;2;3;4;,"SILVA, S. T.;PENHA, M.;OLIVEIRA, E. J. G.;GRUNITZKI, R.;",
