TITULO,ANO,ENTIDADE_PROMOTORA,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID
Bolsa de Pós Graduação [Doutorado],2014,FACEPE,0342261677880699,Tatalina Cristina Silva de Oliveira,Oliveira,"OLIVEIRA, T. C. S.",Recife,PE,"Inquieta, criativa e comunicativa. Aficionada por esportes, adrenalina e arte. Observadora nata de pessoas e suas formas de consumo, o que me leva à paixão pelos estudos de tendência de comportamento (trendhunter). Designer de formação, com uma trajetória profissional que me levou à moda e antropologia, docência, palestras e consultorias. Experiente em gerir projetos, grupos, elaborar parcerias entre instituições e desenvolver pesquisas que envolvam diversidade e inclusão.  Interesse por inovação, moda e sua relação com gênero, negritude e questões socioculturais,bem como com memória gráfica, história da arte e do design, estudos de consumo, com foco em cultura material.&amp;#10;&amp;#10;Doutorado  (2018) e Mestrado (2010) em Design pelo Programa de pós-graduação em Design da UFPE (2018).Especialização (2011) em Antropologia Social e Cultural pelo Instituto de Ciências Sociais da Universidade de Lisboa - Portugal  (ICS-UL). Graduada pelo Centro Federal de Educação Tecnológica de Pernambuco (2006) no Curso Superior de Tecnologia em Design Gráfico.",29-11-2022,,
Aprovação e Classificação [2º lugar]  em Processo Seletivo Simplificado para Professor Substituto - Edital 116/2017 - Perfil 01: Design Gráfico,2017,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - IFPB",0342261677880699,Tatalina Cristina Silva de Oliveira,Oliveira,"OLIVEIRA, T. C. S.",Recife,PE,"Inquieta, criativa e comunicativa. Aficionada por esportes, adrenalina e arte. Observadora nata de pessoas e suas formas de consumo, o que me leva à paixão pelos estudos de tendência de comportamento (trendhunter). Designer de formação, com uma trajetória profissional que me levou à moda e antropologia, docência, palestras e consultorias. Experiente em gerir projetos, grupos, elaborar parcerias entre instituições e desenvolver pesquisas que envolvam diversidade e inclusão.  Interesse por inovação, moda e sua relação com gênero, negritude e questões socioculturais,bem como com memória gráfica, história da arte e do design, estudos de consumo, com foco em cultura material.&amp;#10;&amp;#10;Doutorado  (2018) e Mestrado (2010) em Design pelo Programa de pós-graduação em Design da UFPE (2018).Especialização (2011) em Antropologia Social e Cultural pelo Instituto de Ciências Sociais da Universidade de Lisboa - Portugal  (ICS-UL). Graduada pelo Centro Federal de Educação Tecnológica de Pernambuco (2006) no Curso Superior de Tecnologia em Design Gráfico.",29-11-2022,,
Certificação CAPM ? Técnico Certificado em Gerenciamento de Projetos® do PMI,2013,PMI,1391494412451943,Erika Cavalcanti Madeira Campos,Campos,"CAMPOS, E. C. M.;CAMPOS, E.",Recife,PE,"Doutoranda em Design pela UFPE, Mestre em Design pela CESAR School, Graduada em Desenho Industrial - Pós Graduada em Administração de Marketing pela Universidade de Pernambuco; Designer pela Universidade Federal de Pernambuco (1994) e Jornalista pela Universidade Católica de Pernambuco (1997). Trabalha como designer de Interação / Interface, Design Lead no CESAR - Centro de Estudos e Sistemas Avançados do Recife e como professora no Mestrado em Design, Pós Graduações e Graduação em Design na CESAR School. Tem experiência com design gráfico, design de interface, de interação para dispositivos digitais, design da Experiência e inovação pelo design. participando também de consultorias em inovação. Também atuou como líder de equipe/ líder técnico em projetos de design por mais de 9 anos. Possui Certificação CAPM [Certifield Associate in Project Management ], do PMI.",15-05-2022,Centro de Estudos e Sistemas Avançados do Recife,
"3º Lugar Hackathon Hack a City Brazil, Edição Garanhuns 2017",2017,"Porto., ubiwhere, Open &amp; Agilie Smart Cities e Fiware.",1593547313200045,Diego de Freitas Bezerra,Bezerra,"BEZERRA, D. F.;DE FREITAS BEZERRA, DIEGO;BEZERRA, DIEGO",Garanhuns,PE,"Possui graduação em Ciência da Computação e mestrado em Informática Aplicada pela Universidade Federal Rural de Pernambuco (UFRPE). Atualmente é aluno de doutorado em Ciência da Computação pela Universidade Federal de Pernambuco (UFPE) e atua como pesquisador na Iara Engenharia e Tecnologia Ltda e no Grupo de Pesquisa em Realidade Virtual e Multimídia (GRVM-UFPE). Tem experiência na área de Ciência da Computação, com ênfase em Metodologia e Técnicas da Computação, atuando principalmente nos seguintes temas: aprendizagem de máquina, sistemas de eventos discretos e internet das coisas.",20-12-2022,Universidade Federal de Pernambuco,https://orcid.org/0000-0002-9933-091X
Melhor artigo do X Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,2019,XXXIX Congresso da Sociedade Brasileira de Computação,1593547313200045,Diego de Freitas Bezerra,Bezerra,"BEZERRA, D. F.;DE FREITAS BEZERRA, DIEGO;BEZERRA, DIEGO",Garanhuns,PE,"Possui graduação em Ciência da Computação e mestrado em Informática Aplicada pela Universidade Federal Rural de Pernambuco (UFRPE). Atualmente é aluno de doutorado em Ciência da Computação pela Universidade Federal de Pernambuco (UFPE) e atua como pesquisador na Iara Engenharia e Tecnologia Ltda e no Grupo de Pesquisa em Realidade Virtual e Multimídia (GRVM-UFPE). Tem experiência na área de Ciência da Computação, com ênfase em Metodologia e Técnicas da Computação, atuando principalmente nos seguintes temas: aprendizagem de máquina, sistemas de eventos discretos e internet das coisas.",20-12-2022,Universidade Federal de Pernambuco,https://orcid.org/0000-0002-9933-091X
1º Lugar no setor de fruticultura da Maratona para Ideação Garoa no Campo #Inovação,2020,"Garoa Habitat, Embrapa Semiárido, Sebrae Garanhuns, Sebrae Petrolina e Thinkr",1593547313200045,Diego de Freitas Bezerra,Bezerra,"BEZERRA, D. F.;DE FREITAS BEZERRA, DIEGO;BEZERRA, DIEGO",Garanhuns,PE,"Possui graduação em Ciência da Computação e mestrado em Informática Aplicada pela Universidade Federal Rural de Pernambuco (UFRPE). Atualmente é aluno de doutorado em Ciência da Computação pela Universidade Federal de Pernambuco (UFPE) e atua como pesquisador na Iara Engenharia e Tecnologia Ltda e no Grupo de Pesquisa em Realidade Virtual e Multimídia (GRVM-UFPE). Tem experiência na área de Ciência da Computação, com ênfase em Metodologia e Técnicas da Computação, atuando principalmente nos seguintes temas: aprendizagem de máquina, sistemas de eventos discretos e internet das coisas.",20-12-2022,Universidade Federal de Pernambuco,https://orcid.org/0000-0002-9933-091X
"Menção Honrosa no Concurso de Teses, Dissertações e TCCs em Informática na Educação (CTD-IE)  - categoria Dissertação de Mestrado.",2016,Sociedade Brasileira de Computação,2357786818655678,Tatyane Souza Calixto da Silva,Silva,"SILVA, T. S. C.;DA SILVA, TATYANE SOUZA CALIXTO",Olinda,PE,"Possui graduação em Licenciatura em Computação pela Universidade Federal Rural de Pernambuco (2014), mestrado em Ciência da Computação pela Universidade Federal de Pernambuco (2016) e doutorado em Ciência da Computação pela Universidade Federal de Pernambuco (2021). Atualmente é consultora de qualificação do Centro de Estudos e Sistemas Avançados do Recife, professora do curso de Ciência da Computação no CESAR School e  professora executora do Grupo Ser Educacional. Pesquisa nos seguintes temas: Pensamento Computacional, Ensino e Aprendizagem de Programação, Jogos Diversos, Game Jams e Criatividade.",31-10-2022,,
NASA - International Space Apps Challenge,2020,NASA,2357786818655678,Tatyane Souza Calixto da Silva,Silva,"SILVA, T. S. C.;DA SILVA, TATYANE SOUZA CALIXTO",Olinda,PE,"Possui graduação em Licenciatura em Computação pela Universidade Federal Rural de Pernambuco (2014), mestrado em Ciência da Computação pela Universidade Federal de Pernambuco (2016) e doutorado em Ciência da Computação pela Universidade Federal de Pernambuco (2021). Atualmente é consultora de qualificação do Centro de Estudos e Sistemas Avançados do Recife, professora do curso de Ciência da Computação no CESAR School e  professora executora do Grupo Ser Educacional. Pesquisa nos seguintes temas: Pensamento Computacional, Ensino e Aprendizagem de Programação, Jogos Diversos, Game Jams e Criatividade.",31-10-2022,,
1st Essay Contest - cat. Avançado,1996,Associação Brasil-América,2695085711637635,Leo Falcão,Falcão,"FALCÃO, Leo;FALCÃO, L.;FALCÃO, Leonardo Henrique Lago;FALCÃO, Leonardo H L",Recife,PE,"Doutor pelo Programa de Pós-Graduação em Design pela UFPE, especialista em Estudos Cinematográficos pela UNICAP e graduado em Comunicação Social pela UFPE. Tem uma carreira premiada como roteirista, diretor e produtor de cinema e TV, além de manter seu trabalho como músico. Nos últimos anos, tem estendido sua experiência para outros meios narrativos como literatura, teatro e áreas experimentais, tornando-se uma referência em projetos transmídia e narrativas contemporâneas. Foi vencedor do prêmio Young Creative Entrepreneur Award, promovido pelo British Council em 2012 ? e um dos artistas brasileiros selecionados para o Programa The Playable City, uma residência artística no Pervasive Media Studio em Bristol, Reino Unido, com o apoio do British Council e do Porto Digital. Seus interesses de pesquisa acadêmica e artística abrangem processos de criação e produção em formatos narrativos diversos: artes e narrativas contemporâneas, cinema (roteiro e direção), games, novas mídias, televisão, quadrinhos, música e publicidade. Foi por vários anos docente da UNICAP e atualmente é professor, pesquisador e designer de narrativas na CESAR School.",14-10-2022,Centro de Estudos e Sistemas Avançados do Recife,
Prêmio Firmo Neto,2000,Prefeitura da Cidade do Recife,2695085711637635,Leo Falcão,Falcão,"FALCÃO, Leo;FALCÃO, L.;FALCÃO, Leonardo Henrique Lago;FALCÃO, Leonardo H L",Recife,PE,"Doutor pelo Programa de Pós-Graduação em Design pela UFPE, especialista em Estudos Cinematográficos pela UNICAP e graduado em Comunicação Social pela UFPE. Tem uma carreira premiada como roteirista, diretor e produtor de cinema e TV, além de manter seu trabalho como músico. Nos últimos anos, tem estendido sua experiência para outros meios narrativos como literatura, teatro e áreas experimentais, tornando-se uma referência em projetos transmídia e narrativas contemporâneas. Foi vencedor do prêmio Young Creative Entrepreneur Award, promovido pelo British Council em 2012 ? e um dos artistas brasileiros selecionados para o Programa The Playable City, uma residência artística no Pervasive Media Studio em Bristol, Reino Unido, com o apoio do British Council e do Porto Digital. Seus interesses de pesquisa acadêmica e artística abrangem processos de criação e produção em formatos narrativos diversos: artes e narrativas contemporâneas, cinema (roteiro e direção), games, novas mídias, televisão, quadrinhos, música e publicidade. Foi por vários anos docente da UNICAP e atualmente é professor, pesquisador e designer de narrativas na CESAR School.",14-10-2022,Centro de Estudos e Sistemas Avançados do Recife,
