PESQUISA,OBJECTIVE,YEAR_INI,YEAR_FIN
Desenvolvimento de uma abiente de educação corporativa - Casulo,,2003,2004
Capability Maturity Model Integration - CMMI,,2003,2004
Rational Unified Process - RUP,,2003,2004
Project Management Body of Knowledge - PMBOK,,2003,2004
Gestão da Qualidade,,2003,2004
Gerência de Projetos,,2003,2004
Processos de Desenvolvimento de Software,,2003,2004
Educação em Engenharia de Software,,2003,2004
Fábricas de Software,,2003,2004
