PESQUISA,OBJECTIVE,YEAR_INI,YEAR_FIN
Protagonismo Juvenil e Gamificação do Plano de Vida,,2011,2012
Game studies,,2019,ATUAL
Game design,,2019,ATUAL
Gamificação,,2019,ATUAL
Gamificação de Metodologias de Avaliação e Ensino,,2011,2012
