TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Proposta de Arquitetura Utilizando o Paradigma SOA para o Avatar Educação,2016,10.25286/repa.v3i1.528,Português,Revista de Engenharia e Pesquisa Aplicada,XX,2525-4251,['Marcos de Souza Oliveira'],['1'],['1'],-99
Modelo preditivo para classificação de estudantes com retenção universitária,2020,10.52614/2317-0115.2016.244962,Português,RMP - REVISTA DOS MESTRADOS PROFISSIONAIS,XX,2317-0115,"['Othon Luiz Teixeira de Oliveira', 'Marcos de Souza Oliveira', 'Orlando Brandão', 'Eric Sales']","['1', '2', '3', '4']",['2'],-99
Unsupervised Feature Selection Methodology for Clustering in High Dimensionality Datasets,2020,10.22456/2175-2745.96081,Português,REVISTA DE INFORMÁTICA TEÓRICA E APLICADA (IMPRESSO),XX,0103-4308,"['Marcos de Souza Oliveira', 'QUEIROZ, SERGIO']","['1', '2']",['1'],-99
Unsupervised feature selection method based on iterative similarity graph factorization and clustering by modularity,2022,10.1016/j.eswa.2022.118092,Inglês,EXPERT SYSTEMS WITH APPLICATIONS,A1,0957-4174,"['Marcos de Souza Oliveira', 'QUEIROZ, SERGIO R. DE M.', 'CARVALHO, FRANCISCO DE A.T. DE']","['1', '2', '3']",['1'],-99
