TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Ergonomic Evaluation of Usability with Users &amp;#45; Application of the Technique of Cooperative Evaluation,2013,Português,Springer Berlin Heidelberg,"['Marcelo Penha', 'Correia, Walter', 'Soares, Marcelo', 'Fabio Ferreira da Costa Campos', 'Barros, Marina']","['1', '2', '3', '4', '5']",['1']
Usability Recommendations for a Learning Management Systems (LMS) - A Case Study with the LMS of IFPE,2019,Português,Springer International Publishing,"['Marcelo Penha', 'Correia, Walter Franklin Marques']","['1', '2']",['1']
Virtual Assistants: An Accessibility Assessment in Virtual Assistants for People with Motor Disability on Mobile Devices,2020,Português,Springer International Publishing,"['Correia, Walter', 'MACEDO, JEFTE', 'Marcelo Penha', 'QUINTINO, JONYSBERG', 'Pellegrini, Fernanda', 'ANJOS, MARCELO', 'FLORENTIN, FABIANA', 'SANTOS, ANDRE', 'DA SILVA, FABIO Q. B.']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",['3']
