PESQUISA,OBJECTIVE,YEAR_INI,YEAR_FIN
Preparacao de dispositivos a base de polimeros condutores,,2002,ATUAL
Preparacao de Leds Organicos a base de polimeros,,2002,ATUAL
Desenvolvimento de hardware e firmware para sistemas embarcados de tempo real,"Desenvolvimento de hardware para sistemas de automação comercial, bancaria e industrial. Desenvolvimento de produtos usando as tecnologias: GPS, GPRS, FPGA, Wi-Fi. Controle de impedância de sinais de alta freqüencia.",2002,ATUAL
Coordenação de equipe de desenvolvimento de hardware pára sistemas embarcados,,2002,ATUAL
Garencia de Projetos,,2002,2002
Desenvolvimento de algoritmos para programação de prioridades de rotas em processadores de rede.,,2002,ATUAL
