PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
"Banco de Cola de Fibrina Obtida pela Tecnologia TissueBond 2BCS: Sistematização da Captação, Processamento, Armazenamento, Distribuição e Uso Clínico.",2011,2012,DESENVOLVIMENTO,"['Cristiana Leal de Lacerda Pires', 'Teilhard Rodrigues Barros', 'Veridiana Sales Barbosa de Souza', 'Melissa Papaléo Rocha de Lima', 'José Odinilson de Caldas Brandão', 'Nathália N. T. Holderbaum', 'Ana Paula Lima Pacheco']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Programa NAGI Maker,2016,2018,OUTRA,"['Cristiana Leal de Lacerda Pires', 'Francisco Andrade', 'Marcela Lobo', 'Edgar Andrade', 'Mariana da Mata', 'Roberta Valentim', 'Letícia Falcão', 'Michel Souza', 'Weynner Kenneth', 'Beatriz Freitas']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Mão na Massa - Capacitando Mulheres Makers,2017,ATUAL,OUTRA,"['Cristiana Leal de Lacerda Pires', 'Marcela Lobo', 'Mariana da Mata', 'Roberta Valentim', 'Letícia Falcão', 'Julia Meira', 'Martha Santos', 'Beatriz Freitas']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Entressola Polimagnética,2017,2017,DESENVOLVIMENTO,"['Cristiana Leal de Lacerda Pires', 'Mariana da Mata', 'Walter Franklin Correa', 'Weynner Kenneth', 'Diego R. Sant?Anna']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM']"
Maker School,2017,ATUAL,OUTRA,"['Cristiana Leal de Lacerda Pires', 'Edgar Andrade', 'Mariana da Mata', 'Roberta Valentim', 'Letícia Falcão']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO']"
Virada Maker,2016,2017,OUTRA,"['Cristiana Leal de Lacerda Pires', 'Francisco Andrade', 'Marcela Lobo', 'Edgar Andrade', 'Mariana da Mata', 'Roberta Valentim', 'Letícia Falcão', 'Weyner Kenneth', 'Michel Souza']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Programa Jornada Maker,2018,ATUAL,ENSINO,"['Cristiana Leal de Lacerda Pires', 'Edgar Andrade', 'Mariana da Mata', 'Roberta Valentim', 'Letícia Falcão', 'Maria Auxiliadora Soares Padilha', 'Márcia Soares Nogueira']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Escudo facial de emergência em chapa polimérica monomaterial,2021,2021,DESENVOLVIMENTO,"['Cristiana Leal de Lacerda Pires', 'Mariana da Mata', 'Letícia Falcão', 'José Ignacio Sánchez Pérez']","['SIM', 'NAO', 'NAO', 'NAO']"
Programa Empreendedorismo Maker,2019,ATUAL,ENSINO,"['Cristiana Leal de Lacerda Pires', 'Edgar Andrade', 'Mariana da Mata', 'Roberta Valentim', 'Letícia Falcão']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
Sociologia da Decisão Jurídica,2010,2012,PESQUISA,"['Cristiana Leal de Lacerda Pires', 'Artur Stamford da Silva', 'Henrique Carvalho Carneiro', 'Breno Gustavo Valadares Lins', 'Denis Augusto Pinto Maciel', 'Rodolfo Soares Ribeiro Lopes', 'André Luiz Barreto Azevedo', 'Beclaute Oliveira Silva']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
UFO - Unknown Futures Objects,2016,ATUAL,PESQUISA,"['Cristiana Leal de Lacerda Pires', 'Jacques Barcia', 'Walter Franklin Correa', 'Weynner Kenneth']","['NAO', 'SIM', 'NAO', 'NAO']"
Projeto pedeLUZ,2016,2017,PESQUISA,"['Cristiana Leal de Lacerda Pires', 'Edgar Andrade', 'Mariana da Mata', 'Roberta Valentim', 'Letícia Falcão', 'Clarissa Duarte', 'Pedro Nunes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
