TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Avaliação de um Modelo de Maturidade para Adoção de Learning Analytics em Instituições de Ensino Superio,2020,10.17398/1695-288x.19.2.101,Português,REVISTA LATINOAMERICANA DE TECNOLOGÍA EDUCATIVA,XX,1695-288X,"['SOARES XAVIER FREITAS, ELYDA LAISA', 'DA FONSECA DE SOUZA, FERNANDO', 'CARDOSO GARCIA, VINICIUS', 'PONTUAL DA ROCHA FALCÃO, TACIANA', 'MOREIRA MARQUES, ELAINE CRISTINA', 'Rafael Ferreira Leite de Mello']","['1', '2', '3', '4', '5', '6']",['6'],-99
Applications of learning analytics in Latin America,2020,10.1111/bjet.12978,Inglês,British Journal of Educational Technology,XX,1467-8535,"['PONTUAL FALCÃO, TACIANA', 'Rafael Ferreira Leite de Mello', 'LINS RODRIGUES, RODRIGO']","['1', '2', '3']",['2'],2.588
Automatic Content Analysis of Online Discussions for Cognitive Presence: A Study of the Generalizability across Educational Contexts,2021,10.1109/TLT.2021.3083178,Português,IEEE Transactions on Learning Technologies,XX,1939-1382,"['NETO, VALTER', 'ROLIM, VITOR', 'CAVALCANTI, ANDERSON PINHEIRO', 'DUEIRE LINS, RAFAEL', 'GASEVIC, DRAGAN', 'Rafael Ferreira Leite de Mello']","['1', '2', '3', '4', '5', '6']",['6'],2.315
ImageDataset2Vec: An image dataset embedding for algorithm selection,2021,10.1016/j.eswa.2021.115053,Inglês,EXPERT SYSTEMS WITH APPLICATIONS,A1,0957-4174,"['DIAS, LUCAS V.', 'MIRANDA, PÉRICLES B.C.', 'NASCIMENTO, ANDRÉ C.A.', 'CORDEIRO, FILIPE R.', 'Rafael Ferreira Leite de Mello', 'PRUDÊNCIO, RICARDO B.C.']","['1', '2', '3', '4', '5', '6']",['5'],-99
Adopting Learning Analytics to Promote Collaboration in Online Discussions Written in Portuguese,2021,10.5281/zenodo.4936893,Português,Computer-Based Learning in Context,XX,2690-1307,"['Máverick André', 'PINHEIRO, ANDERSON', 'Vitor Belarmino Rolim', 'Rafael Dueire Lins', 'FALCÃO, TACIANA PONTUAL', 'Rafael Ferreira Leite de Mello']","['1', '2', '3', '4', '5', '6']",['6'],-99
Automatic feedback in online learning environments: A systematic literature review,2021,10.1016/j.caeai.2021.100027,Inglês,Computers and Education: Artificial Intelligence,XX,2666-920X,"['CAVALCANTI, ANDERSON PINHEIRO', 'BARBOSA, ARTHUR', 'CARVALHO, RUAN', 'FREITAS, FRED', 'TSAI, YI-SHAN', ""GA?EVI', DRAGAN"", 'Rafael Ferreira Leite de Mello']","['1', '2', '3', '4', '5', '6', '7']",['7'],-99
Game learning analytics can unpack Escribo play effects in preschool early reading and writing,2021,,Português,Computers and Education Open,XX,2666-5573,"['Gabriel Candidoda Silva', 'Rodrigo Lins Rodrigues', 'Americo N.Amorim', 'Rafael Ferreira Leite de Mello', 'José Oliveira Neto']","['1', '2', '3', '4', '5']",['4'],-99
Automatic analysis of cognitive presence in online discussions: An approach using deep learning and explainable artificial intelligence,2021,,Português,Computers and Education: Artificial Intelligence,XX,2666-920X,"['Yuanyuan Hu', 'Rafael Ferreira Leite de Mello', 'Dragan Ga?evi&amp;#263;']","['1', '2', '3']",['2'],-99
Applications of Learning Analytics in High Schools: A Systematic Literature Review,2021,10.3389/frai.2021.737891,Português,Frontiers in Artificial Intelligence,XX,2624-8212,"['SOUSA, ERVERSON B. G. DE', 'ALEXANDRE, BRUNO', 'Rafael Ferreira Leite de Mello', 'PONTUAL FALCÃO, TACIANA', 'VESIN, BOBAN', ""GA?EVI', DRAGAN""]","['1', '2', '3', '4', '5', '6']",['3'],-99
Toward Automatic Classification of Online Discussion Messages for Social Presence,2022,10.1109/tlt.2022.3150663,Inglês,IEEE Transactions on Learning Technologies,XX,1939-1382,"['ANDRE, MAVERICK', 'Rafael Ferreira Leite de Mello', 'NASCIMENTO, ANDRE', 'DUEIRE LINS, RAFAEL', 'GASEVIC, DRAGAN']","['1', '2', '3', '4', '5']",['2'],2.315
Understanding depth of reflective writing in workplace learning assessments using machine learning classification,2022,10.1109/TLT.2022.3162546,Português,IEEE Transactions on Learning Technologies,XX,1939-1382,"['BARTHAKUR, ABHINAVA', 'JOKSIMOVIC, SRECKO', 'KOVANOVIC, VITOMIR', 'Rafael Ferreira Leite de Mello', 'TAYLOR, MEGAN', 'RICHEY, MICHAEL', 'PARDO, ABELARDO']","['1', '2', '3', '4', '5', '6', '7']",['4'],2.315
Towards automated content analysis of educational feedback: A multi-language study,2022,10.1016/j.caeai.2022.100059,Inglês,Computers and Education: Artificial Intelligence,XX,2666-920X,"['OSAKWE, IKENNA', 'CHEN, GUANLIANG', 'WHITELOCK-WAINWRIGHT, ALEX', ""G'SEVIC, DRAGAN"", 'PINHEIRO CAVALCANTI, ANDERSON', 'Rafael Ferreira Leite de Mello']","['1', '2', '3', '4', '5', '6']",['6'],-99
