INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
CESAR School,2017,12,12,12,Curso de formação de Especialista em Tecnologia Inovação e Inteligência,ESPECIALIZACAO,['Android e Prototipação Arduino']
CESAR School,2018,12,12,12,Ciência da Computação,GRADUACAO,['Sistemas Digitais e Prototipação com Arduino']
CESAR School,2019,12,12,12,Extensão em Machine Learning Aplicado à Análise de Dados,APERFEICOAMENTO,['Machine Learning para Big Data']
CESAR School,2019,06,06,06,NEXT ? Nova EXperiência de Trabalho,APERFEICOAMENTO,['Introdução à Aprendizagem de Máquinas']
CESAR School,2019,,ATUAL,ATUAL,Tech for Non-Techies,APERFEICOAMENTO,['Inteligência Artificial e Machine Learning']
CESAR School,2020,,ATUAL,ATUAL,Ciência da Computação,GRADUACAO,['Aprendizagem de Máquinas']
CESAR School,2020,,ATUAL,ATUAL,Curso de formação de Especialista em Tecnologia Inovação e Inteligência,ESPECIALIZACAO,['Projeto de Machine Learning']
CESAR School,2020,,ATUAL,ATUAL,Especialização em Análise e Engenharia de Dados,ESPECIALIZACAO,['Mineração de Dados 1: Modelos Preditivos']
CESAR School,2020,,ATUAL,ATUAL,Gestão de Negócios na Era Digital (GNED),APERFEICOAMENTO,['Tecnologias Habilitadoras - Inteligência Artificial']
CESAR School,2020,,ATUAL,ATUAL,Curso de formação de Especialista em Tecnologia Inovação e Inteligência,ESPECIALIZACAO,['Machine Learning']
