PROJETO,DESCRICAO,SITUACAO,ANO_INICIO,ANO_FIM
Diversidade e Inclusão,"Fruto da disciplina Análise e Comunicação da Pesquisa (ACP), 2º período da graduação em Design, este projeto teve como objetivo realizar o monitoramento do sentimento/percepção/cohecimento das pessoas estudantes da Cesar School (cursos de design e ciência da computação) sobre Diversidade e Inclusão. Foram realizadas  entrevista, formulários, etnografia e netnografia para a geração de relatório, bem como proposição de possíveis ações para criar um ambiente mais diverso e acolhedor no ambiente acadêmico.",CONCLUIDO,2022,2022
Manual de Técnicas de Ideação para Designers (ou não),"Manual desenvolvido por pessoas estudantes da disciplina de Técnicas de Ideação (turma 2020.1), da graduação em design, no qual são testadas e apresentadas técnicas de ideação, adaptadas para formado presencial ou remoto.",EM_ANDAMENTO,2022,ATUAL
