TITULO,TIPO
Testes de Sistemas de Classificação de Cenas Acústicas Utilizando Relações Metamórficas,Dissertação de mestrado
Uso de Aprendizado de Máquina para Classificação de Cenas Acústicas Envolvendo Violência Doméstica,Dissertação de mestrado
Utilização de Aprendizagem de Máquina na Classificação de Risco de Pacientes Oncológicos,Dissertação de mestrado
