TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Real-Time Head Pose Estimation for Mobile Devices,2012,Português,Springer Berlin Heidelberg,"['Neto, Euclides N. Arcoverde', 'BARRETO, RAFAEL M.', 'Duarte, Rafael M.', 'Joao Paulo Magalhaes', 'Bastos, Carlos A. C. M.', 'Ren, Tsang Ing', 'CAVALCANTI, GEORGE D. C.']","['1', '2', '3', '4', '5', '6', '7']",['4']
Face Detection under Illumination Variance Using Combined AdaBoost and Gradientfaces,2012,Português,Springer Berlin Heidelberg,"['Joao Paulo Magalhaes', 'Ren, Tsang Ing', 'CAVALCANTI, GEORGE D. C.']","['1', '2', '3']",['1']
