TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Como fazer genius? Uma análise da ludo motivação em tutoriais makers.,2017,Português,Marcavisual,"['Yvana Oliveira de Alencastro', 'Simone L. Sperhacke', 'Roberto Wanner Pires', 'Underlea Miotto Bruscato']","['1', '2', '3', '4']",['1']
O museu e o objeto museológico após as novas tecnologias: um estudo sob a perspectiva da nova museologia e da cibercultura,2017,Português,Marcavisual,"['Yvana Oliveira de Alencastro', 'Nilson Valdevino Soares', 'Jocelise Jacques de Jacques', 'Luis Carlos Petry', 'Gabriela Zubaran de Azevedo Pizzato', 'Fábio Pinto da Silva']","['1', '2', '3', '4', '5', '6']",['1']
"Faça-se a si mesmo A construção do autoaprendizado sob a perspectiva da cultura maker, da ética hacker e do método Montessori",2018,Português,Cirkula,"['Yvana Oliveira de Alencastro', 'Nilson Valdevino Soares']","['1', '2']",['1']
Boas práticas de projeto para a criação de livros mais sustentáveis,2017,Português,Marca Visual,"['Yvana Oliveira de Alencastro', 'Luiz Alberto do Canto Piveta', 'Jocelise Jacques de Jacques', 'Tânia Luisa Koltermann da Silva', 'Fábio Pinto da Silva']","['1', '2', '3', '4', '5']",['1']
