TITULO,ANO,ENTIDADE_PROMOTORA
7º Prêmio Sebrae de Jornalismo (ganhador),2014,Sebrae e Revista IMPRENSA
Prêmio Fenacon de Jornalismo 2015 (finalista),2015,Fenacon e Fenaj
Prêmio CNI de Jornalismo (finalista),2015,Confederação Nacional da Indústria
21º Prêmio Cristina Tavares de Jornalismo (ganhador),2015,Sinjope e Fenaj
Prêmio Petrobras de Jornalismo 2015 (ganhador),2015,Petrobras
22º Prêmio Cristina Tavares de Jornalismo (ganhador),2016,Sinjope e Fenaj
Votos de Aplausos e Congratulações,2016,Câmara Municipal do Recife
