NATUREZA,TITULO,ANO,PAIS,IDIOMA,NOME-DO-CANDIDATO,CODIGO_INSTITUICAO,NOME-DA-INSTITUICAO,NOME-ORGAO,NOME-DO-CURSO,NOME-PARTICIPANTE-BANCA,ORDEM-PARTICIPANTE,NOME-CITACAO-BANCA,NRO-ID-CNPQ
Mestrado,Análise da Emergência Narrativa em Metal Gear Solid V: The Phantom Pain,2015,Brasil,Português,VAZIO,002100000009,Universidade Federal de Pernambuco,VAZIO,Design,André M. M. Neves;Paulo Carneiro Cunha Filho;Leonardo Henrique Lago Falcão;,1;2;3;,"NEVES, A. M. M.;CUNHA FILHO, Paulo C.;FALCÃO, Leo;",
Mestrado,Gamificação em Cenários de Aprendizageem como Estratégia para o Engajamento Estudantil,2018,Brasil,Português,VAZIO,002100000009,Universidade Federal de Pernambuco,VAZIO,Educação Matemática e Tecnológica,Romero Tori;Leonardo Henrique Lago Falcão;Marcelo Sabatini;,1;2;3;,"TORI, Romero;FALCÃO, Leo;SABATINI, M.;",
Mestrado,Missa com Crianças: formação para a cidadania com recursos multimídia,2020,Brasil,Português,VAZIO,173400000000,Universidade Católica de Pernambuco,VAZIO,Indústrias Criativas,Breno José Andrade de Carvalho;Pedro Rubens Ferreira de Oliveira;Leonardo Henrique Lago Falcão;Izabela Domingues da Silva;,1;2;3;4;,"CARVALHO, Breno;OLIVEIRA, Pedro Rubens;FALCÃO, Leo;DOMINGUES DA SILVA, I.;",
