TITULO,TIPO
Game: artefato ou meio?,Trabalho publicado em anais de eventos(Completo)
Narrative Meets Gameplay: a theoretical convergence,Trabalho publicado em anais de eventos(Completo)
Mapas Narrativos: estruturas dramáticas aplicadas à concepção e avaliação de Games,Livro publicado
Narrative Maps: conception and evaluation in game storytelling,Trabalho publicado em anais de eventos(Completo)
