TITULO,ANO,ENTIDADE_PROMOTORA
1st Essay Contest - cat. Avançado,1996,Associação Brasil-América
Prêmio Firmo Neto,2000,Prefeitura da Cidade do Recife
Prêmio Firmo Neto,2002,Prefeitura da Cidade do Recife
Prêmio TV Cultura de Melhor Curta-Metragem Nacional,2002,Fundação Padre Anchieta - TV Cultura
Prêmio Especial do Público - Melhor Filme,2002,6º Festival de Cinema do Recife
Prêmio de Melhor Roteiro,2002,6º Festival de Cinema do Recife
Concurso de Apoio à Produção de Curtas-Metragens Inéditos,2003,Ministério da Cultura
Prêmio Especial do Público - Melhor Curta-Metragem,2004,Cine PE - Festival do Audiovisual
Prêmio ABD - Melhor Filme Nacional (TheLastNote.com),2004,Associação Brasileira de Documentaristas e Curtametragistas - Cap. São Paulo
2o. Lugar - Publicidade Propaganda - 12a. Exposição de Pesquisa Experimental em Comunicação (Orientador),2005,Intercom
Melhor Roteiro - Vídeos Digitais (O Jumento Santo...),2007,Cine PE - Festival do Audiovisual
Prêmio Chico Mendes de Melhor Roteiro (&amp;quot;A vida é curta&amp;quot;),2008,Fest Cine Amazônia (RO)
Prêmio de Melhor Filme (&amp;quot;A vida é curta&amp;quot;),2008,Fest Cine Amazônia (RO)
Prêmio Gilberto Freyre,2008,Cine PE - Festival do Audiovisual
Melhor Diretor - Mostra Pernambuco,2011,Cine PE - Festival do Audiovisual
Young Creative Entrepreneur Award,2012,British Council
Seleção para o programa Recife: The Playable City,2013,"British Council, Porto Digital &amp; Pervasive Media Studio at Watershed"
Melhor Filme - Júri Popular,2015,Cine PE - Festival do Audiovisual
Melhor Filme,2015,Festcine Amazônia: Festival Latino-Americano de Cinema Ambiental (RO)
Melhor Diretor,2015,Festcine Amazônia: Festival Latino-Americano de Cinema Ambiental (RO)
Prêmio Especial de Linguagem,2015,Festcine Amazônia: Festival Latino-Americano de Cinema Ambiental (RO)
Melhor Roteiro,2015,Festcine Amazônia: Festival Latino-Americano de Cinema Ambiental (RO)
Menção Honrosa - Filme Documentário,2016,Festival do Filme Etnográfico do Recife
Melhor Filme Brasileiro,2022,Fantaspoa - Festival de Cinema Fantástico de Porto Alegre
