TITULO,ANO,ENTIDADE_PROMOTORA
Melhor Vídeo pelo Júri Popular na Mostra WEB Competitiva do Mostramundo com o vídeo &amp;quot;Morte e Vida Canina&amp;quot;,2006,"Mostramundo, Festival da Imagem em Movimento - AESO"
Láurea Universitária,2006,Universidade Federal de Pernambuco
1º Lugar do Prêmio Jovem Pesquisador pela excelência do artigo O Poeta José Maria Carneiro de Albuquerque e Mello e a Trajetória da Revista do Norte - 3º Congic,2007,Sociedade Brasileira de Design da Informação
Concurso de &amp;quot;Projetos de Sistema de Identidade Visual dos Equipamentos Culturais do Pátio de São Pedro&amp;quot; com a marca do Museu de Arte Popular.,2006,Fundação de Cultura da Cidade do Recife
