TITULO,ANO,ENTIDADE_PROMOTORA
Accredited Systems Engineer,2001,COMPAQ
Analista de Teste - CBTS,2010,ALATS - Associação Latino Americana de Teste de Software
ISTQB - ISEB Certified Tester Foundation Level (CTFL),2010,ISTQB - International Software Testing Qualification Board
1° Lugar no Concurso para Professor Assistente,2013,Universidade Federal Rural de Pernambuco - UFRPE
Professora homenageada do curso de Bacharelado em Ciência da Computação turma 2018.2,2019,Universidade Federal Rural de Pernambuco - UFRPE
Finalista no EU-Brazil Innovation Pitch Competition 2020,2020,"EURAXESS Brazil, CONFAP and ENRICH Brazil"
