TITULO,ANO,ENTIDADE_PROMOTORA
Bolsa de Pós Graduação [Mestrado],2009,CNPq
Aprovação e Classificação [2º lugar]  em Concurso Público para Professor Efetivo - Edital 136/2011 - Perfil: Design Gráfico,2011,"IFPB -  Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
Aprovação e Classificação [2º lugar] em Concurso Público para Professor Efetivo Assistente - Edital 012/2013 -  Matéria: Design e Sociedade,2013,UFS - Universidade Federal de Sergipe
Bolsa de Pós Graduação [Doutorado],2014,FACEPE
Aprovação e Classificação [2º lugar]  em Processo Seletivo Simplificado para Professor Substituto - Edital 116/2017 - Perfil 01: Design Gráfico,2017,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - IFPB"
