PESQUISA,OBJECTIVE,YEAR_INI,YEAR_FIN
Deep Learning para visão computacional,Pesquisa e desenvolvimento de aplicações para auxiliar o reconhecimento de objetos em imagens. Desenvolvimento de um sistema automático de treinamento de redes neurais.,2018,ATUAL
Machine Learning,,2018,ATUAL
OCR/ICR,,2018,ATUAL
