INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
C.E.S.A.R.EDU,2011,12,12,12,Design de Interação e Interface para Dispoositivos,ESPECIALIZACAO,['Projeto de Aplicação Interativa']
C.E.S.A.R.EDU,2013,02,02,02,Design de Interação e Interface para Dispoositivos,ESPECIALIZACAO,['Projeto de Aplicação Interativa']
Faculdade Singularidades,2014,,ATUAL,ATUAL,"Educação Inovadora: Didáticas, Tecnologias, Design",ESPECIALIZACAO,['Introdução ao Design Thinking']
