NATUREZA,TITULO,ANO,PAIS,IDIOMA,NOME-DO-CANDIDATO,CODIGO_INSTITUICAO,NOME-DA-INSTITUICAO,NOME-ORGAO,NOME-DO-CURSO,NOME-PARTICIPANTE-BANCA,ORDEM-PARTICIPANTE,NOME-CITACAO-BANCA,NRO-ID-CNPQ
Mestrado,Análise Comparativa de Diferentes Tipos de Estrutura de Testes de Software,2008,Brasil,Português,VAZIO,001000000998,CESAR EDU,VAZIO,Mestrado profissional em Engenharia de Software,Georgia Pinto Barbosa;,1;,"BARBOSA, G. P.;",6694205854000137;
Mestrado,Uso de OKR em uma equipe de desenvolvimento de software: Pesquisa-ação numa empresa ligada à área de mobilidade na grande São Paulo,2021,Brasil,Português,VAZIO,001100000990,CESAR School,VAZIO,Mestrado profissional em Engenharia de Software,Georgia Pinto Barbosa;,1;,"BARBOSA, G. P.;",6694205854000137;
Mestrado,Análise do Skill Gap do Porto Digital sob o ponto de vista das empresas de software,2020,Brasil,Português,VAZIO,001100000990,CESAR School,VAZIO,Mestrado profissional em Engenharia de Software,Georgia Pinto Barbosa;,1;,"BARBOSA, G. P.;",6694205854000137;
