PESQUISA,OBJECTIVE,YEAR_INI,YEAR_FIN
Bioinformatica,Desenvolver pesquisas relacionadas ao estudo da modelagem de proteínas e sequenciamento de DNA.,2000,2003
Métodos de Química Quântica,"Estudo, implementação e aplicação de métodos de química quântica na determinação da estrutura eletrônica dos compostos e compreensão do comportamento das reações químicas. Os métodos de maior foco atualmente são: dinâmica de elétrons e núcleos (END), a dinâmica de Born-Oppenheimer (BOMD) e a re-parametrização de métodos semi-empíricos para reações específicas (SRP).",2005,2014
Luminescência de Lantanídeos,Estudo quimiométrico do rendimento quântico da luminescência de lantanídeos a patir da variação das taxas de transferência entre os níveis de energia dos lantanídeos e dos ligantes.,2005,2014
Dinâmica Quântica de Elétrons e Núcleos,,2000,2003
Aprendizagem de Máquina,,2000,2003
Química Teórica e Computacional,,2000,2003
Computação Quântica,,2000,2003
Bioinformática,,2000,2003
