TITULO,ANO,ENTIDADE_PROMOTORA
Prêmio Jovem Cientista,2016,"Jornada de Iniciação Científica, CEULP/ULBRA"
Prêmio Jovem Cientista,2017,"Jornada de Iniciação Científica, CEULP/ULBRA"
Segundo colocado na Categoria Acadêmica,2017,"Feira de Empreendedorismo, Ciência. Inovação e Tecnologia - FECIT"
