INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Faculdade do Vale do Ipojuca,2010,12,12,12,Publicidade e Propaganda,GRADUACAO,"['Direção de arte publicitária', 'Design &amp;amp; computação gráfica', 'Design &amp;amp; Multimídia', 'Design &amp;amp; Produção Gráfica']"
Faculdade Joaquim Nabuco,2010,02,02,02,Publicidade e Propaganda,GRADUACAO,"['Direção de arte publicitária', 'Planejamento visual']"
