NATUREZA,TITULO,ANO,PAIS,IDIOMA,NOME-DO-CANDIDATO,CODIGO_INSTITUICAO,NOME-DA-INSTITUICAO,NOME-ORGAO,NOME-DO-CURSO,NOME-PARTICIPANTE-BANCA,ORDEM-PARTICIPANTE,NOME-CITACAO-BANCA,NRO-ID-CNPQ
Mestrado,Estudo de Diretrizes para a Comunicação Interna em um Instituto de Inovação a partir de uma Construção de Design Colaborativo,2019,Brasil,Português,VAZIO,091400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Mestrado Profissional em Design,Erika Cavalcanti Madeira Campos;Leonardo Augusto Gómez Castillo;Pedro Paulo Procópio de Oliveira Santos;,1;2;3;,"CAMPOS, E. C. M.;CASTILLO, L.;SANTOS, P. P. P. O.;",
Mestrado,O celular como otimizador do rendimento do aluno: a utilização da tecnologia como método que acessore o professor na prática de ensino aliada às redes sociais.,2020,Brasil,Português,VAZIO,091400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Mestrado Profissional em Design,Erika Cavalcanti Madeira Campos;Walter Frankin Marques Correia;Eduardo José Gonçalves de Oliveira;,1;2;3;,"CAMPOS, E. C. M.;CORREIA, W. F. M.;OLIVEIRA, E. J. G.;",
Mestrado,Design Estratégico no setor público: um estudo da contribuição do Design na construção do Plano de Turismo Criativo do Recife 2019-2012,2019,Brasil,Português,VAZIO,091400000001,Centro de Estudos e Sistemas Avançados do Recife,VAZIO,Mestrado Profissional em Design,Erika Cavalcanti Madeira Campos;Leonardo Augusto Gómez Castillo;Paula de Oliveira Leal Vilaça;,1;2;3;,"CAMPOS, E. C. M.;CASTILLO, L.;Vilaça, P.;",
