TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Sumarização Automática Textual Independente de Idioma: Uma plataforma para sumarização textual automática independente de idioma,2018,Português,VAZIO,"['Luciano Cabral', 'Rafael Dueire Lins', 'Rafael Ferreira Leite de Mello']","['1', '2', '3']",['3']
TECNOLOGIA APLICADA À GESTÃO DOS CONFLITOS NO ÂMBITO DO PODER JUDICIÁRIO BRASILEIRO,2022,Português,VAZIO,"['André C. P. L. F. de Carvalho', 'Trícia Navarro', 'André Câmara', 'Caroline Tauk', 'Fernanda Bragança', 'José Leovigildo Coelho', 'Juliana Loss', 'Péricles B. C. de Miranda', 'Rafael Ferreira Leite de Mello', 'Renata Braga']","['1', '10', '2', '3', '4', '5', '6', '7', '8', '9']",['8']
