TITULO,ANO,ENTIDADE_PROMOTORA
Projete,1995,ETE &amp;quot;FMC&amp;quot;
Iniciação Cientifica,2000,Fapesp
LARC - Latino America Robotic Competition - Categoria @home,2014,SBC
CBR - Competição Brasileira de Robótica - Categoria @Home,2014,SBC
LARC - Latino America Robotics Competition - Campeão @Home,2015,SBC
CBR - Competição Brasileira de Robótica - Campeão @Home,2015,SBC
Transformadores Gol Novos Tempos,2017,revista Trip
