TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Mapeamento da pesquisa sobre design de interação na educação a distância no cenário internacional,2010,,Português,Revista Científica Tecnologus,XX,1983-3997,"['Marcelo Penha', 'Fabio Ferreira da Costa Campos', 'Walter Franklin Marques Correia']","['1', '2', '3']",['1'],-99
Edição digital de imagens: a influência de Man Ray no Photoshop,2011,,Português,Revista Científica Tecnologus,XX,1983-3997,"['Marcelo Penha', 'Gentil Alfredo Magalhães Duque Porto Filho']","['1', '2']",['1'],-99
Heuristic Evaluation of Usability - a Case study with the Learning Management Systems (LMS) of IFPE,2014,,Inglês,International Journal of Humanities and Social Science,XX,2221-0989,"['Marcelo Penha', 'Walter Franklin Marques Correia', 'Fabio Ferreira da Costa Campos', 'Marina de Lima Neves Barros']","['1', '2', '3', '4']",['1'],-99
Desenvolvimento mobile com enfoque acessível: O Design na mediação da inclusão,2018,10.5965/2316796307132018085,Português,Human Factors in Design,XX,2316-7963,"['TORRES, CECÍLIA VITAL', 'FLORENTIN, FABIANA', 'SILVA, FABIO Q B', 'SANTOS, ANDRÉ L M', 'OLIVEIRA, EDUARDO', 'LIBERAL, RAFAELA', 'BARROS, VIVIANE', 'Walter Franklin Marques Correia', 'NASCIMENTO, CARLA', 'MACEDO, JEFTÉ', 'Marcelo Penha', 'ANJOS, MARCELO DOS']","['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9']",['8'],-99
A roadmap towards mobile applications with accessibility for visually impaired users: guideline and its evaluation,2019,10.23972/det2019iss19,Português,Revista Design &amp; Tecnologia,XX,2178-1973,"['Walter Franklin Marques Correia', 'Marcelo Penha', 'Jefte Macedo', 'Clauirton Siebra', 'Marcelo Anjos']","['1', '2', '3', '4', '5']",['2'],-99
WEB 2.0: potencializando a interatividade na Educação a Distância (EAD),2015,,Português,Revista Científica Tecnologus,XX,1983-3997,"['Marcelo Penha', 'Walter Franklin Marques Correia', 'Fabio Ferreira da Costa Campos']","['1', '2', '3']",['1'],-99
