INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Universidade Federal do Rio Grande do Sul,2009,12,12,12,,OUTRO,['Monitora do Departamento de Informática Aplicada - Monitoria à distância']
Centro de Estudos e Sistemas Avançados do Recife,2020,01,01,01,Design de Interação para Artefatos Digitais,ESPECIALIZACAO,['Síntese e Análise de Dados']
Centro de Estudos e Sistemas Avançados do Recife,2020,,ATUAL,ATUAL,Design de Interação para Artefatos Digitais,ESPECIALIZACAO,['UX Research']
