TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Novos modelos de negócio do jornalismo pernambucano diante das Indústrias Criativas,2018,Português,Editora FI,"['Maria Carolina Maia Monteiro', 'Dario Brito Rocha Júnior', 'Denny Anderson Farias Costa', 'João Guilherme de Melo Peixoto', 'Luiz Carlos Pinto da Costa Júnior']","['1', '2', '3', '4', '5']",['3']
Valor da Notícia no Jornalismo Pós-Industrial,2018,Português,Ed. UFPE,"['Dario Brito Rocha Júnior', 'Denny Anderson Farias Costa']","['1', '2']",['2']
