PESQUISA,OBJECTIVE,YEAR_INI,YEAR_FIN
"Interação Humano-Computador, Acessibilidade, LIBRAS",,2014,2015
"Rastreamento de Olhar, IHC, Acessibilidade",,2014,2015
"Visão Computacional, Inteligência Computacional, Processamento Gráfico",,2014,2015
