PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Otimização e Implementação de Protocolos em Redes com Suporte a Videoconferência,2002,2008,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Pedro Bispo da Silva Santos', 'Evandro de Barros Costa', 'Henrique Pacca Loureiro Luna']","['NAO', 'NAO', 'NAO', 'SIM']"
Framework For Building Interactive Learning Environments,2006,2009,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Ig Ibert Bittencourt']","['NAO', 'SIM']"
MASSAYO,2009,2011,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Ig Ibert Bittencourt']","['NAO', 'SIM']"
Modelos de Recuperação de Informaçao na Blogosfera,2009,2010,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Pedro Bispo da Silva Santos', 'Evandro de Barros Costa', 'Henrique Pacca Loureiro Luna']","['NAO', 'NAO', 'NAO', 'SIM']"
Estruturação de Ferramentas com Suporte a VideoConferência na Internet,2008,2009,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Pedro Bispo da Silva Santos', 'Evandro Costa', 'Henrique Pacca Loureiro Luna']","['NAO', 'NAO', 'NAO', 'SIM']"
BlogSpread: Perceiving the meme phenomenom by visualising the blogsphere semantically,2008,2012,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Marlos Silva', 'Ig Ibert Bittencourt', 'Evandro Costa', 'Henrique Pacca Loureiro Luna']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO']"
"Plataforma +PNE e TC Educa: Integrando Dados Conectados, Inteligência Artificial e Análise de Dados",2021,ATUAL,DESENVOLVIMENTO,"['Rafael Ferreira Leite de Mello', 'Ig Ibert', 'Seiji Isotani', 'André Câmara', 'Gabriel Alves', 'Taciana Pontual da Rocha Falcão', 'Péricles B. C. de Miranda', 'Ibsen Mateus Bittencourt Santana Pinto']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
ArCo - Arcabouço de Comunidades,2003,2008,DESENVOLVIMENTO,"['Rafael Ferreira Leite de Mello', 'Evandro Costa']","['NAO', 'SIM']"
Hewlett_Packard Functional Summarization,2014,2016,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Rinaldo J. Lima', 'Fred Freitas', 'Hilário Oliveira', 'Luciano Cabral', 'Gabriel França', 'CAVALCANTI, GEORGE D.C.', 'BATISTA, JAMILSON', 'FERREIRA, RODOLFO', 'Rafael Dueire Lins']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM']"
Hewlett_Packard Information Retrieval Friendly Text Analytics - IFRTA,2013,2014,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Rinaldo J. Lima', 'Fred Freitas', 'Hilário Oliveira', 'Luciano Cabral', 'George Gomes Cabral', 'SILVA, GABRIEL', 'Rafael Dueire Lins']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
A Olimpíada Brasileira de Informática na UFRPE ? OBI 2016,2015,2016,EXTENSAO,"['Rafael Ferreira Leite de Mello', 'Douglas Véras e Silva', 'Valmir Macário', 'André Câmara', 'Péricles Miranda']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Aplicação de mineração de texto para extração de informação em textos educacionais,2016,2018,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Douglas Véras e Silva']","['SIM', 'NAO']"
Utilização de técnicas de mineração de dados para extrair learning analytics em ambientes virtuais de aprendizagem no Brasil,2018,2020,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Péricles Miranda', 'Rafael Dueire Lins', 'Juliana Regueira Basto Diniz', 'Rodrigo Nonamor Pereira Mariano de Souza', 'Taciana Pontual da Rocha Falcão', 'Rodrigo Lins Rodrigues']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Desevolvimento de serviços educacionais para auxílio a pessoas com dificuldades de comunicação,2019,2020,DESENVOLVIMENTO,"['Rafael Ferreira Leite de Mello', 'André Câmara']","['SIM', 'NAO']"
InternAbroad: University of South-Eastern Norway - Universidade Federal Rural de Pernambuco,2020,ATUAL,ENSINO,"['Rafael Ferreira Leite de Mello', 'André Câmara', 'Péricles B. C. de Miranda', 'Ana Furtado', 'Boban Vesin', 'Siri Bjornstad']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Feedback bot: Sistema para aprimoramento na escrita de feedback,2020,ATUAL,DESENVOLVIMENTO,"['Rafael Ferreira Leite de Mello', 'Taciana Pontual da Rocha Falcão', 'João Pedro Cavalcanti Uchoa', 'Janine Cibele de Azevedo Mello']","['SIM', 'NAO', 'NAO', 'NAO']"
Utilização de analíticas de aprendizagem e gamificação para personalizar o ensino de alfabetização,2019,2021,DESENVOLVIMENTO,"['Rafael Ferreira Leite de Mello', 'André Câmara', 'Péricles B. C. de Miranda']","['SIM', 'NAO', 'NAO']"
Extração de informação e classificação em textos jurídicos,2020,2021,DESENVOLVIMENTO,"['Rafael Ferreira Leite de Mello', 'André Câmara', 'Péricles Barbosa Cunha de Miranda', 'Ana Furtado']","['NAO', 'SIM', 'NAO', 'NAO']"
Utilização de mineração de texto e learning analytics para análise de dados educacionais,2018,2021,PESQUISA,"['Rafael Ferreira Leite de Mello', 'André Câmara', 'Taciana Pontual da Rocha Falcão', 'Péricles B. C. de Miranda', 'Ana Furtado']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Aplicação de algoritmos de inteligência computacional para resolução de problemas reais,2019,ATUAL,PESQUISA,"['Rafael Ferreira Leite de Mello', 'André Câmara', 'Péricles B. C. de Miranda']","['NAO', 'SIM', 'NAO']"
Curso de Especialização em Inteligência Computacional Aplicada,2020,2021,ENSINO,"['Rafael Ferreira Leite de Mello', 'Valmir Macário', 'André Câmara', 'Péricles Miranda', 'George Gomes Cabral', 'Rafael Dueire Lins', 'Ana Furtado', 'João Paulo']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Eleições 2016: Inclusão Digital a partir da TV Digital Interativa Utilizando Dados Abertos Eleitorais,2016,2016,EXTENSAO,"['Rafael Ferreira Leite de Mello', 'Douglas Véras e Silva']","['NAO', 'SIM']"
Aprendizagem de representações de produtos no contexto de e-commerce,2022,ATUAL,DESENVOLVIMENTO,"['Rafael Ferreira Leite de Mello', 'André Câmara', 'MIRANDA, PERICLES B.C.']","['SIM', 'NAO', 'NAO']"
Programação Aplicada com Inteligência Artificial,2022,2022,EXTENSAO,"['Rafael Ferreira Leite de Mello', 'Luciano de Souza Cabral']","['SIM', 'NAO']"
