INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Faculdade de Ciências Humanas Esuda,2020,,ATUAL,ATUAL,Redes de Computadores,GRADUACAO,"['Gestão da Tecnologia da Informação', 'Infraestrutura e Cabeamento Estruturado', 'Projeto de Redes', 'Trabalho de Curso']"
Centro de Estudos e Sistemas Avançados do Recife,2022,,ATUAL,ATUAL,Ciências da Computação,GRADUACAO,"['Introdução à Computação', 'Requisitos e Validação']"
