PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Motorola TDMA,2002,2003,DESENVOLVIMENTO,"['Tiago Guedes Ferreira Barros', 'Eduardo Peixoto', 'Angelo Ribeiro', 'Claudio Takahasi', 'Fred Monteiro', 'Alexandre Brainer']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Motorola Delta,2004,2006,DESENVOLVIMENTO,"['Tiago Guedes Ferreira Barros', 'Fred Monteiro', 'Nara Lyra', 'Gustavo Eliano', 'Hugo Reinaldo', 'Rogério Pontual', 'Diógenes Pereira']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Samsung Watcher,2012,2012,DESENVOLVIMENTO,"['Tiago Guedes Ferreira Barros', 'Jorge Cavalcanti', 'Augusto Vieira', 'Daniel Moura', 'Paulo Neto', 'Douglas Oliveira', 'Ryan Albuquerque', 'Gabriel Finch']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Monitor de Irrigação,2012,ATUAL,DESENVOLVIMENTO,"['Tiago Guedes Ferreira Barros', 'Daniel Thiago Vasconcelos Pereira', 'Adeilton Oliveira', 'Fabio Urquiza', 'Daniel Moura', 'Hugo Amorim Lyra', 'Roger Araújo', 'Victor Rojas Nogales Junior']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
KNoT-FI: Um Ambiente Integrado KNoT-FIWARE para o Desenvolvimento de Aplicações para Cidades Inteligentes,2018,ATUAL,PESQUISA,"['Tiago Guedes Ferreira Barros', 'Thais Batista', 'Everton Ranielly Cavalcante', 'Jair Cavalcanti Leite', 'Nélio Alessandro Azevedo Cacho', 'Frederico Araújo da Silva Lopes', 'Pedro Victor Silva', 'César Augusto Perdigão Batista', 'Kiev Gama', 'Ioram Schechtman Sette']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
KNoT Network of Things - Uma meta-plataforma open source para IoT,2015,ATUAL,PESQUISA,"['Tiago Guedes Ferreira Barros', 'Claudio Takahasi', 'Daniel Thiago Vasconcelos Pereira', 'Thiago Figueredo Cardoso', 'Paulo de Tarso Vasconcelos Serra Filho']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Grupo de Inovação Positivo,2008,2011,DESENVOLVIMENTO,"['Tiago Guedes Ferreira Barros', 'Maria Alice Neves', 'Paulo Melo', 'Rodrigo Cruz']","['NAO', 'SIM', 'NAO', 'NAO']"
Gluon,2006,2007,PESQUISA,"['Tiago Guedes Ferreira Barros', 'Pedro Menezes', 'Edilson Mendes']","['SIM', 'NAO', 'NAO']"
Mostrips,2006,2006,DESENVOLVIMENTO,"['Tiago Guedes Ferreira Barros', 'Karina Limongi', 'Saulo Dourado']","['SIM', 'NAO', 'NAO']"
Motorola Embedded Applications,2006,2007,DESENVOLVIMENTO,"['Tiago Guedes Ferreira Barros', 'Gustavo Eliano', 'Emerson Espinola', 'Mauro Silva', 'Tarciana Mello', 'Jorge Cavalcanti', 'Bruno Vinicius', 'Gilberto Alves']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
