TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Introducing a Language for Human Stance Description,2016,Português,Springer International Publishing,"['Mabiala, António C.', 'Lima, Clodoaldo A. M.', 'Antonio Willian Sousa', 'Roman, Norton T.', 'Bernardes, João L.', 'Antunes, Marcelo M.', 'Ortega, Enrique M.', 'Digiampietri, Luciano A.', 'del Val Cura, Luis M.', 'da Silva, Valdinei F.']","['1', '10', '2', '3', '4', '5', '6', '7', '8', '9']",['2']
Analysis of Choreographed Human Movements Using Depth Cameras: A Systematic Review,2016,Português,Springer International Publishing,"['Ribeiro, Danilo', 'Lima, Clodoaldo', 'Bernardes, João', 'Roman, Norton', 'Antunes, Marcelo', 'Ortega, Enrique', 'Antonio Willian Sousa', 'Digiampietri, Luciano', 'Cura, Luis', 'Silva, Valdinei']","['1', '10', '2', '3', '4', '5', '6', '7', '8', '9']",['6']
