TITULO,ANO,ENTIDADE_PROMOTORA
"3º Lugar Hackathon Hack a City Brazil, Edição Garanhuns 2017",2017,"Porto., ubiwhere, Open &amp; Agilie Smart Cities e Fiware."
Melhor artigo do X Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,2019,XXXIX Congresso da Sociedade Brasileira de Computação
1º Lugar no setor de fruticultura da Maratona para Ideação Garoa no Campo #Inovação,2020,"Garoa Habitat, Embrapa Semiárido, Sebrae Garanhuns, Sebrae Petrolina e Thinkr"
