INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Associação de Ensino Superior de Olinda,1998,12,12,12,Curso Superior de Processamento de Dados,GRADUACAO,"['Sistemas de Informação na Web', 'Banco de dados']"
Departamento de Economia - UFPE,2001,12,12,12,Comércio Eletrônico e Economia Digital,POS-GRADUACAO,['Negócios Virtuais']
Qualiti,2003,12,12,12,Curso preparatório para exame de certificação PMP,APERFEICOAMENTO,['Gerência de projetos']
Escola de Governo,2003,06,06,06,Gerência de programas e projetos,APERFEICOAMENTO,['Gerência de programas e projetos']
Faculdade Santa Maria de Recife,2006,,ATUAL,ATUAL,Pós-Graduação em Gestão de Projetos,POS-GRADUACAO,['Gerenciamento de Custos']
Universidade Federal do Piauí,2006,,ATUAL,ATUAL,Curso de Especialização em Tecnologias para Web,ESPECIALIZACAO,['Comércio Eletrônico']
CESAR.EDU,2007,07,07,07,Mestrado Profissionalizante,POS-GRADUACAO,['Conteúdo de Gestão de Projetos']
CESAR.EDU,2007,,ATUAL,ATUAL,Mestrado Profissionalizante,POS-GRADUACAO,"['Gestão de Projetos - Básico', 'Gestão de Projetos - Intermediário', 'Gestão de Projetos - Profissional']"
Centro universitário Maurício de Nassau - Recife,2009,,ATUAL,ATUAL,MBA Executivo em Logística Empresarial,ESPECIALIZACAO,['Gestão de Projetos']
Faculdade Frassinetti do Recife,2012,,ATUAL,ATUAL,Especialização em Gestão de Projetos,ESPECIALIZACAO,['Gestão de Custos']
