INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Fundação de Apoio ao Desenvolvimento da Universidade Federal de Pernambuco,2001,11,11,11,,OUTRO,['Oficina de Roteiro Cinematográfico']
Fundação de Apoio ao Desenvolvimento da Universidade Federal de Pernambuco,2002,2,2,2,,OUTRO,['Oficina de Roteiro Cinematográfico']
Fundação de Apoio ao Desenvolvimento da Universidade Federal de Pernambuco,2002,6,6,6,,OUTRO,['Oficina de Roteiro Cinematográfico']
Italo Bianchi Consultor de Criação Publicitária,2002,2,2,2,,OUTRO,['Cinema Publicitário']
Associação do Ensino Superior de Olinda,2003,12,12,12,Publicidade,GRADUACAO,"['Produção Publicitária em Rádio, TV e Cinema']"
Universidade Federal de Pernambuco,2003,7,7,7,Especialização Em Redação Publicitária,ESPECIALIZACAO,['Redação Publicitária']
Fundação de Apoio ao Desenvolvimento da Universidade Federal de Pernambuco,2003,11,11,11,,OUTRO,['Oficina de Roteiro Cinematográfico']
Universidade Católica de Pernambuco,2004,,ATUAL,ATUAL,Publicidade e Propaganda,GRADUACAO,['Propaganda Audiovisual 2']
Universidade Católica de Pernambuco,2009,12,12,12,Especialização em Estudos Cinematográficos,ESPECIALIZACAO,['Teorias e Estéticas do Cinema']
