PESQUISA,OBJECTIVE,YEAR_INI,YEAR_FIN
Processamento de Linguagem Natural,,2013,ATUAL
Analíticas de Aprendizagem - Learning Analytics,,2013,ATUAL
Feebcack personalizado,,2013,ATUAL
