TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
The Anatomy of IoT Platforms - A Systematic Multivocal Mapping Study,2022,10.1109/ACCESS.2022.3189660,Português,IEEE Access,XX,2169-3536,"['BARROS, TIAGO G. F.', 'Eronides Felisberto da Silva Neto', 'NETO, JOAO ALEXANDRE S.', 'DE SOUZA, ANDRE G. M.', 'AQUINO, VITOR B.', 'TEIXEIRA, ERICO S.']","['1', '2', '3', '4', '5', '6']",['2'],4.098
Audio encryption based on the cosine number transform,2015,10.1007/s11042-015-2755-6,Inglês,Multimedia Tools and Applications,XX,1380-7501,"['LIMA, JULIANO B.', 'Eronides Felisberto da Silva Neto']","['1', '2']",['2'],2.101
