TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
A direct dynamics study of protonated alcohol dehydration and the Diels-Alder reaction,2009,10.1590/S0103-50532009000400009,Inglês,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,B1,0103-5053,"['Santos', 'Erico Souza Teixeira', 'Longo, Ricardo L.']","['1', '1', '3']",['1'],-99
Construction of basis sets for time-dependent studies,2009,10.1063/1.3202442,Inglês,The Journal of Chemical Physics,XX,0021-9606,"['Guevara, N. L.', 'Hall, B.', 'Erico Souza Teixeira', 'Sabin, J. R.', 'Deumens']","['1', '2', '3', '4', '5']",['3'],-99
Multiple electron transfer processes in collisions of N^{6+} and O^{7+} with methane,2009,10.1103/PhysRevA.80.062715,Inglês,Physical Review. A,XX,1050-2947,"['Guevara, N. L.', 'Erico Souza Teixeira', 'Hall, B.', 'Deumens', 'Öhrn, Y.', 'Sabin, J. R.']","['1', '2', '3', '4', '5', '6']",['2'],-99
"Charge transfer in collisions of the effectively-one-electron isocharged ions Si^{3+}, C^{3+}, and O^{3+} with atomic hydrogen",2011,10.1103/PhysRevA.83.052709,Inglês,Physical Review. A,XX,1050-2947,"['Guevara, N. L.', 'Erico Souza Teixeira', 'Hall, B.', 'Öhrn, Y.', 'Deumens', 'Sabin, J. R.']","['1', '2', '3', '4', '5', '6']",['2'],-99
Understanding the Reactivity and Regioselectivity of Methylation of Nitronates [R              1&lt;/sup&gt;              R              2&lt;/sup&gt;              CNO              2&lt;/sub&gt;              ]              &amp;#8722;&lt;/sup&gt;              by CH              3&lt;/sub&gt;              I in the Gas Phase,2015,10.1021/acs.joc.5b01273,Português,JOURNAL OF ORGANIC CHEMISTRY,A1,0022-3263,"['MAHMOOD, AYYAZ', 'Erico Souza Teixeira', 'Longo, Ricardo L.']","['1', '2', '3']",['2'],-99
Chemometric analysis of the luminescence quantum yields in lanthanide ion complexes,2016,10.1016/j.jlumin.2014.10.033,Inglês,Journal of Luminescence,XX,0022-2313,"['Erico Souza Teixeira', 'NETO, BENÍCIO B.', 'DE OLIVEIRA, PAULO M.C.', 'Longo, Ricardo L.']","['1', '2', '3', '4']",['1'],-99
"Exploring water radiolysis in proton cancer therapy: Time-dependent, non-adiabatic simulations of H+ + (H2O)1-6",2017,10.1371/journal.pone.0174456,Inglês,PLoS One,A1,1932-6203,"['PRIVETT, AUSTIN J.', 'Erico Souza Teixeira', 'STOPERA, CHRISTOPHER', 'Jorge Alberto Morales']","['1', '2', '3', '4']",['2'],2.776
Electron Nuclear Dynamics Simulations of Proton Cancer Therapy Reactions: Water Radiolysis and Proton- and Electron-Induced DNA Damage in Computational Prototypes,2018,10.3390/cancers10050136,Inglês,Cancers,XX,2072-6694,"['Erico Souza Teixeira', 'UPPULURY, KARTHIK', 'PRIVETT, AUSTIN', 'STOPERA, CHRISTOPHER', 'MCLAURIN, PATRICK', 'MORALES, JORGE']","['1', '2', '3', '4', '5', '6']",['1'],6.162
Symmetry-breaking effects on time-dependent dynamics: correct differential cross sections and other properties in H + C H at = 30 eV,2019,10.1039/C8CP07529H,Inglês,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,A1,1463-9076,"['MCLAURIN, PATRICK M.', 'MERRITT, RYAN', 'DOMINGUEZ, JUAN C.', 'Erico Souza Teixeira', 'Jorge Alberto Morales']","['1', '2', '3', '4', '5']",['4'],3.567
Electron nuclear dynamics with plane wave basis sets: complete theory and formalism,2020,10.1007/s00214-020-2578-z,Inglês,THEORETICAL CHEMISTRY ACCOUNTS,B1,1432-881X,"['Erico Souza Teixeira', 'Jorge Alberto Morales']","['1', '2']",['1'],1.598
The Anatomy of IoT Platforms - A Systematic Multivocal Mapping Study,2022,10.1109/access.2022.3189660,Português,IEEE Access,XX,2169-3536,"['BARROS, TIAGO G. F.', 'DA SILVA NETO, ERONIDES F.', 'NETO, JOAO ALEXANDRE S.', 'DE SOUZA, ANDRE G. M.', 'AQUINO, VITOR B.', 'Erico Souza Teixeira']","['1', '2', '3', '4', '5', '6']",['6'],4.098
