INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Impact Hub Recife,2014,10,10,10,Hub Escola,APERFEICOAMENTO,['Futurismo']
Centro de Estudos e Sistemas Avançados do Recife,2017,,ATUAL,ATUAL,Design,GRADUACAO,"['Design Especulativo', 'Estudos de Futuro', 'Filosofia Prática', 'Fundamentos de Projeto IV', 'Projeto 3', 'Projeto 4']"
Centro de Estudos e Sistemas Avançados do Recife,2017,,ATUAL,ATUAL,Gestão Ágil de Projetos,ESPECIALIZACAO,['Pensamento de Futuro Aplicado à Projetos']
Centro de Estudos e Sistemas Avançados do Recife,2017,12,12,12,Gerenciamento de Projetos,POS-GRADUACAO,['Seminários Temáticos II - Design de Produtos']
Centro de Estudos e Sistemas Avançados do Recife,2017,,ATUAL,ATUAL,DESIGN DE INTERAÇÃO PARA ARTEFATOS DIGITAIS,ESPECIALIZACAO,['Inovação e Geração de Novos Negócios']
Centro de Estudos e Sistemas Avançados do Recife,2018,,ATUAL,ATUAL,Mestrado Profissional em Design,POS-GRADUACAO,"['DESIGN FUTURES I', 'PROJETOS AVANÇADOS EM DESIGN E TECNOLOGIA', 'DESIGN FUTURES II', 'TÓPICOS AVANÇADOS EM DESIGN E TECNOLOGIA I', 'TÓPICOS AVANÇADOS EM DESIGN E TECNOLOGIA II']"
Impact Hub Recife,2018,02,02,02,Hub Escola,APERFEICOAMENTO,['Futurismo - Crie inovações para qualquer cenário']
Centro de Estudos e Sistemas Avançados do Recife,2019,,ATUAL,ATUAL,Ciência da Computação,GRADUACAO,"['Fundamentos de Projeto IV', 'Projeto 3', 'Projeto 4']"
Instituto Euvaldo Lodi - PR,2019,09,09,09,Gestão de Mudança: A 4ª Revolução Industrial e o Futuro dos Negócios,ESPECIALIZACAO,"['Estratégia para o para século XXI: Design analytic, Design thinking, Analytics thinking e Mathematic thinking']"
Serviço Nacional de Aprendizagem Comercial - PE,2019,09,09,09,Pós-Graduação de Moda e Styling,POS-GRADUACAO,['MARKETING DE MODA']
Impact Hub Recife,2019,12,12,12,Hub Escola,APERFEICOAMENTO,['Foresight']
