TITULO,ANO,ENTIDADE_PROMOTORA
"Menção Honrosa no Concurso de Teses, Dissertações e TCCs em Informática na Educação (CTD-IE)  - categoria Dissertação de Mestrado.",2016,Sociedade Brasileira de Computação
NASA - International Space Apps Challenge,2020,NASA
