TITULO,ANO,ENTIDADE_PROMOTORA
1º lugar no Concurso de Melhores Artigos,2019,IV Congresso sobre Tecnologias na Educação
Melhor trabalho na categoria Mestrado/Doutorado do curso de Pós-Graduação em Engenharia da Computação,2020,"Mostra de Extensão, Inovação e Pesquisa POLI/UPE"
