TITULO,ANO,ENTIDADE_PROMOTORA
Menção Honrosa: Prêmio de Melhor Vídeo no XIV FestCine - Festival de Vídeo de Pernambuco,2012,Fundação do Patrimônio Histórico e Artístico de Pernambuco
Melhor Prática Urbana no Brasil à Makeathon Fab City,2017,Conselho de Arquitetura e Urbanismo de Permabuco
Voto de Aplauso ao Projeto Pedeluz,2017,Câmara Municipal do Recife
Finalista do Creative Learning Challenge 2018,2018,MIT Media Lab
Finalista do Creative Learning Challenge 2019,2019,MIT Media Lab
