INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Prefeitura Municipal de Caruaru,2007,02,02,02,,ENSINO-FUNDAMENTAL,['Matemática para o Ensino Fundamental']
Prefeitura Municipal de Surubim,2010,12,12,12,,ENSINO-FUNDAMENTAL,['Matemática para o Ensino Fundamental']
Faculdade Escritor Osman da Costa Lins,2011,,ATUAL,ATUAL,Adiministração Geral,GRADUACAO,"['Administração Financeira e Orçamentária II', 'Matemática Aplicada', 'Matemática Básica']"
Instituto Capibaribe,2012,,ATUAL,ATUAL,,ENSINO-FUNDAMENTAL,['Matemática']
Universidade Federal de Pernambuco,2014,,ATUAL,ATUAL,Matemática,GRADUACAO,"['Metodologia do Ensino da Matemática II', 'Metodologia do Ensino da Matemática IV', 'Prática de Ensino II', 'Estágio Supervisionado I']"
Universidade Federal de Pernambuco,2014,,ATUAL,ATUAL,Matemática-Licenciatura,GRADUACAO,"['Estágio Supervisionado 2', 'Metodologia do Ensino da Matemática I', 'Metodologia do Ensino da Matemática II', 'Prática do Ensino da Matemática 3']"
