INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Faculdade SENAC,2013,,ATUAL,ATUAL,Tecnológico Superior em Design de Moda,GRADUACAO,"['Estilo', 'Moda, Cultura e Sociedade', 'História da Moda Comtemporânea', 'História da Moda I', 'Planejamento e Desenvolvimento de Coleção II', 'Design de Superfície']"
Faculdade SENAC,2014,05,05,05,Especialização em Produção de Moda e Styling,POS-GRADUACAO,['Moda Contemporânea']
Faculdade SENAC,2016,05,05,05,Especialização em Modelagem e Criação,POS-GRADUACAO,['Orientação de TCCs']
