TITULO,ANO,ENTIDADE_PROMOTORA
"2º Lugar Hackathon Hack a City Brazil, Edição Garanhuns 2017",2017,"Porto., ubiwhere, Open &amp; Agilie Smart Cities e Fiware.."
Best Poster Award,2017,XIII Workshop de Visão Computacional - WVC 2017
