PESQUISA,OBJECTIVE,YEAR_INI,YEAR_FIN
Redes de Computadores,,2019,2022
Sistemas Distribuídos,,2019,2022
Visão Computacional,,2022,ATUAL
Visão Computacional,,2019,2022
