PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
UrbemBee - Mobile Monitoring of Smart Cities,2016,2016,PESQUISA,"['Luiz Fernando Fonsêca Pinheiro de Lima', 'Eudisley Gomes dos Anjos', 'Danielle Rousy Dias da Silva', 'Fernando Menezes Matos', 'Iury Rogério Sales de Araújo', 'Jessica Maciel de Castro']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
RailBee - Monitoramento Estratégico de Trens Urbanos Baseado em Redes de Sensores Sem Fio e Sistemas Embarcados,2016,2016,PESQUISA,"['Luiz Fernando Fonsêca Pinheiro de Lima', 'Eudisley Gomes dos Anjos', 'Danielle Rousy Dias da Silva', 'Iury Rogério Sales de Araújo', 'Jessica Maciel de Castro', 'Romulo Araujo']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
www.BMC: mostrando a Matemática Computacional da UFPB para o mundo através da internet,2018,2018,EXTENSAO,"['Luiz Fernando Fonsêca Pinheiro de Lima', 'Gustavo Charles Peixoto de Oliveira']","['NAO', 'SIM']"
"Laboratório de Inovação, Capacitação e Qualificação na Área Tecnológica",2019,2019,EXTENSAO,"['Luiz Fernando Fonsêca Pinheiro de Lima', 'Eudisley Gomes dos Anjos', 'Danielle Rousy Dias da Silva']","['NAO', 'SIM', 'NAO']"
Curso Preparatório para Olimpíadas Brasileiras de Informática,2016,2019,EXTENSAO,"['Luiz Fernando Fonsêca Pinheiro de Lima', 'Eudisley Gomes dos Anjos', 'Danielle Rousy Dias da Silva', 'Fernando Menezes Matos', 'Valéria Gonçalves Soares', 'Lincoln David Nery e Silva', 'Jansepetrus Brasileiro Pereira']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
