INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Serviço Nacional de Aprendizagem Comercial,2009,02,02,02,Governança de TI,ESPECIALIZACAO,['Gestão Estratégica de TI']
Faculdade de Filosofia Ciências e Letras de Caruaru,2010,12,12,12,Análise e Desenvolvimento de Sistemas,GRADUACAO,"['Linguagens de Programação Web', 'Metodologia de Pesquisa Científica']"
Faculdade de Filosofia Ciências e Letras de Caruaru,2010,12,12,12,Especialização em  Engenharia de Software,POS-GRADUACAO,['Fábrica de Software']
Serviço Nacional de Aprendizagem Comercial,2011,02,02,02,Governança de TI,ESPECIALIZACAO,['Gestão Operacional de TI']
