PROJETO,DESCRICAO,SITUACAO,ANO_INICIO,ANO_FIM
InternAbroad: University of South-Eastern Norway - Universidade Federal Rural de Pernambuco,Projeto de intercâmbio entre a Universidade Federal Rural de Pernambuco e a University of South-Eastern Norway.,EM_ANDAMENTO,2020,ATUAL
Curso de Especialização em Inteligência Computacional Aplicada,"O Curso de Especialização em Inteligência Computacional Aplicada é um projeto de formação aprovado no Edital PITEC 13/2019 da FACEPE que tem o objetivo de formar profissionais na área de Inteligência Computacional. Através de uma metodologia de ensino baseada em problemas (PBL), os alunos interagem com a teoria e aplicam o conhecimento em projetos práticos do mundo real.",CONCLUIDO,2020,2021
