TITULO,TIPO
Usability requirements for mobile accessibility,Trabalho publicado em anais de eventos(Completo)
Observation based analysis on the use of mobile applications for visually impaired users,Trabalho publicado em anais de eventos(Completo)
Toward accessibility with usability,Trabalho publicado em anais de eventos(Completo)
DESENVOLVIMENTO ACESSÍVEL COM DESIGN INCLUSIVO: UMA PARCERIA COM FOCO SOCIAL,Trabalho publicado em anais de eventos(Completo)
Desenvolvimento mobile com enfoque acessível: O Design na mediação da inclusão,Artigo publicado em periódicos(Completo)
An analysis on tools for accessibility evaluation in mobile applications,Trabalho publicado em anais de eventos(Completo)
AVs para serem ouvidos e não vistos: Uma Avaliação de Acessibilidade em Assistentes Virtuais para PDVs em dispositivos móveis,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
Virtual assistants for mobile interaction,Trabalho publicado em anais de eventos(Completo)
Guidelines for Accessibility: ensuring the usability of mobile applications for visually impaired users,Trabalho publicado em anais de eventos(Resumido)
Full mobile accessibility is a matter of respect,Trabalho publicado em anais de eventos
GuAMA: um guia de requisitos para o desenvolvimento de aplicações móveis acessíveis,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
AVs para serem tocados com a fala: Avaliação de Acessibilidade em assistentes virtuais para pessoas com deficiência motora,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
A roadmap towards mobile applications with accessibility for visually impaired users: guideline and its evaluation,Artigo publicado em periódicos(Completo)
Virtual Assistants: An Accessibility Assessment in Virtual Assistants for People with Motor Disability on Mobile Devices,Capítulo de livro publicado
